"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"United States","USA","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","21.5068910774768","21.4279352954777","22.053664512195","23.7364976630133","22.634513260052","20.8720290978334","21.4269431989037","22.1731143253125","23.3864840057864","23.4875080875165","22.1745289527879","23.369426426273","21.8384802829066","19.8470288502055","21.96270045757","20.3938589294859","18.9851671675575","19.6236717994291","20.6338997100309","19.7575372152572","18.7745813299208","18.8357159158108","17.7072473670343","17.0583602932988","17.8546154577626","18.7306349376179","19.6023444356504","20.7924119316746","21.3355281803571","20.907403082865","20.7655643354126","19.6262336864177","18.3007628138757","17.4682629247472","17.6626127664456","18.0447490653157","19.3114991980305","17.5086013703205","15.6718153963473","14.5749354364484","15.3195035515022","15.9537344101267","17.9781080521477","18.5433834444167","19.346922460792","19.4542003146234","18.0731913248561","","",
"China","CHN","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","33.8263740961347","33.1769424691429","34.9267086131852","35.3100974214927","35.2872767125625","37.273654760801","38.0208362063697","35.9369032329162","36.7523539839548","38.5532825267516","40.6578463654322","41.758432678967","41.747186980707","39.5803183708185","38.80856874913","39.7925442566403","38.395724620428","36.6083260756079","35.8204790129847","37.3725610856496","39.0141199833487","42.5749988129874","45.8629410928371","46.1815373000182","48.5502069562185","50.858866730667","52.2769397674589","50.9717716075457","52.0595350326313","50.1358200995785","49.6366682520511","48.6427882483563","49.1583975294434","46.9333696445567","45.804783633323","47.0054693359345","",
"India","IND","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","13.0776801051733","15.9305516385762","15.3947175680775","15.0447372041993","15.4919911148021","14.0472554739004","15.7466750840483","15.7640191857898","15.3148141073098","15.7406135452318","16.7174573247544","15.6851111504977","16.858512593613","18.0320239209853","20.0137763479211","21.0839686445617","21.6407488045786","23.129005145064","23.9697886250113","25.8634317452377","26.8719457711458","26.9723595208827","27.4568942072553","25.7545738957985","25.497473083095","25.9852765792778","26.1386794086202","28.0047827523126","30.3784229099488","33.2336162101177","34.2113381256143","35.4857266594282","36.5645220032239","36.0303559143698","35.1160198607251","35.7591125908118","35.1317965399037","35.2612917940085","34.3046563330021","33.4660242231467","32.7314661784374","31.4008144898205","30.7301933081665","",
"Japan","JPN","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.2915822570054","32.0876851127183","31.3239877571943","29.6099602577666","29.9638101701328","28.5610234088295","27.3040177988373","27.5028880790434","28.0858490279077","28.2674398994746","28.5458110964947","29.1234214280115","27.3582032798006","24.0819564767591","25.1237050071504","24.1684405307255","23.5551527072261","24.0349565212461","24.6588147180065","27.0316179311777","27.3346795330191","","",
"Germany","DEU","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","26.4787625469699","25.3109412611468","25.0327142556028","23.8696577799402","20.338173552076","20.8576459206768","20.5652333836607","21.4665737743142","20.9164825878711","19.6911827907677","18.3172775669748","18.6292632826917","19.1985231405288","19.8185119840923","20.6178276496972","22.131669238341","21.2946339697089","22.4728457212254","23.482041262291","24.7347687548855","24.0446829118792","23.7450073409197","22.4973832366238","22.4083239185496","22.4564365398027","21.9975724346453","22.1965181424833","22.5491375687641","22.0446563432124","22.1044391432928","21.8951172598655","21.7709487127848","21.0522643099206","23.5378016127265","23.3775361660989","25.445672425306","27.5226015843649","26.4689681380188","23.8201256307302","25.2313479038295","27.2037574185649","26.326378754419","26.1867276308091","27.0052690117485","27.6671595439139","27.5972783974804","27.7640769318731","",
"France","FRA","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","25.760562689196","25.4884378453226","25.2890385597942","25.3201350165588","25.3362022767388","24.6634349530001","22.3860109085118","21.2167805629826","20.8643044992631","20.704478429484","20.7251438098726","21.9846741455031","21.8931855906042","23.1708866015471","23.7586351420409","23.8960452667624","23.5932674634468","23.1023818373695","22.0069156221492","22.0734777065154","22.553228933771","22.3898392458255","23.4086559634777","24.4071876400848","25.0643712234964","24.5890484262401","24.3608680893868","23.129557561735","22.580563829176","23.0213988080648","22.8481436192067","23.5999255957772","24.0677612910393","23.5682849497799","20.5886238828743","20.9733620727937","21.8039394743863","20.5959730563933","20.4510107814856","20.6525532239894","21.4167002115496","21.3728304667041","22.6459804909898","",
"United Kingdom","GBR","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","22.6783772297234","21.6836558867701","20.3417264109116","21.1484948015906","18.2790995895438","17.5102927013472","18.8159315832363","19.9852782167439","20.3455800053336","19.4840209304816","17.9018349317093","16.6734394883362","16.5157727661256","17.1510100151494","17.4461070111497","16.9825840081539","15.7805146007406","16.032644394509","16.2144548454778","15.9494582039329","14.6851493523981","13.9978287378832","12.9665904635121","12.8154274437003","14.9366292655979","14.0348448250402","14.3302217653411","15.0551150357707","16.5898118602204","14.8963079703148","15.6350775504826","15.4522274735221","15.2006940588888","15.3297356520553","14.9908356822517","15.6206047193877","14.9626918148713","15.482670545315","13.078825088089","10.9719914985732","12.6351816073157","13.5706346645332","11.8308441354879","11.5639136913238","11.7499115226646","11.8220788856693","11.8134855676529","13.1874329714842","",
"Sri Lanka","LKA","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","7.53789682533291","2.90848495181827","5.13147609610745","11.152297767894","22.6759951605011","25.7361373345608","26.7738705113655","28.2823510501396","26.6921675598348","24.1453333033038","23.703547206871","23.6840902465218","24.1640400140395","24.7039959342489","23.5804371805055","23.7004914622853","23.6126895634343","24.4536902107428","25.6181385780873","24.3792730381113","20.8315705549209","21.6005400889675","22.2026475945407","22.6472440552396","23.3865400469894","22.0996558981927","22.954101782154","21.3112687900827","21.6561549503201","22.1188973193084","24.1626061753552","22.6868814923707","23.6266037933455","18.0331275480753","23.9298766713827","28.4579423477004","26.2857952108458","33.301778893713","29.8637745173051","29.8046427845214","28.8235140074827","32.8283260703754","34.0308259143961","",
"Russian Federation","RUS","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.5760306524765","28.0214886429121","27.1153993397749","21.9535763713981","19.3226917801187","28.2454411262233","36.1539954500657","32.5130840634644","28.774633110198","28.266168918809","30.2604735847074","30.546586658519","30.6608906469551","31.2668899991601","30.0639144194373","20.8762055825303","26.2837234502086","29.2778178191415","27.8626869622186","24.653349437206","24.9582326892048","26.7342103698512","25.8680019895285","26.5597386880719","",
"Bhutan","BTN","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.0466556349736","28.5858268198345","33.7840138476892","30.0570531886558","33.7877600775223","39.636136364942","47.6079038343872","24.3187469760578","28.714247564866","20.9997354041815","30.7169898027649","29.3966545312426","",
